Arrangement Number,Country Name,Country Code,Arrangement Type,Approval Date,Approval Year,Initial End date,Initial End Year,Duration Of Annual Arrangement From,Duration Of Annual Arrangement To,Program Type,Review Type,Review Sequence,Doc. Num,Facilitycode,Inipgmyr,Fycy,Totalaccess,Precautionary,Purchase,Purchaseschedule,Setaside,Comments,Sort
403,AZERBAIJAN                         ,912,PRGF ,7/2/2001,2001,7/1/2004,2004,NULL,NULL,P1,R1  ,BLANK,EBS/02/21,NO FACILITY,2001,CY,80.45,NULL,Yes,Original,NULL,NULL,1
403,AZERBAIJAN                         ,912,PRGF ,7/2/2001,2001,3/31/2005,2005,NULL,NULL,P1,R2  ,BLANK,EBS/03/57,NO FACILITY,2001,CY,80.45,NULL,Yes,Revised ,NULL,"At time of Executive Board meeting for completion of second review of the three-year PRGF arrangement, the commitment period was extended through March 31, 2005.",2
403,AZERBAIJAN                         ,912,PRGF ,7/2/2001,2001,3/31/2005,2005,NULL,NULL,P1,R3  ,BLANK,EBS/03/164,NO FACILITY,2001,CY,80.45,NULL,Yes,Revised ,NULL,"At time of Executive Board meeting for completion of second review of the three-year PRGF arrangement, the commitment period was extended through March 31, 2005.",3
403,AZERBAIJAN                         ,912,PRGF ,7/2/2001,2001,7/4/2005,2005,NULL,NULL,P1,R4  ,BLANK,EBS/04/173,NO FACILITY,2001,CY,67.58,NULL,Yes,Revised ,NULL,"At time of Executive Board meeting for completion of second review of the three-year PRGF arrangement, the commitment period was extended through March 31, 2005.  During fourth review, the Board approved the authorities' request to rephase the remaining disbursements, cancel the previously planned sixth review, and correspondingly reduce access under the arrangement from SDR 80.5 million to SDR 67.58 million.  The Board also approved an extension of the arrangement from March 31, 2005 to July 4, 2005.",4
403,AZERBAIJAN                         ,912,PRGF ,7/2/2001,2001,7/4/2005,2005,NULL,NULL,P1,R5  ,L,EBS/05/90,NO FACILITY,2001,CY,67.58,NULL,Yes,Revised ,NULL,"At time of Executive Board meeting for completion of second review of the three-year PRGF arrangement, the commitment period was extended through March 31, 2005.  During fourth review, the Board approved the authorities' request to rephase the remaining disbursements, cancel the previously planned sixth review, and correspondingly reduce access under the arrangement from SDR 80.5 million to SDR 67.58 million.  The Board also approved an extension of the arrangement from March 31, 2005 to July 4, 2005.  At the time of the fifth, and final review, the Azeri authorities stated that they will not draw the final tranche available under the arrangement.",5
134,BELARUS                            ,913,SBA  ,9/12/1995,1995,9/11/1996,1996,9/12/1995,9/11/1996,P1,OldBoardApproval,E,EBS /95/128,NO FACILITY,1995,CY,196.28,NULL,Yes,Original,NULL,NULL,-1
134,BELARUS                            ,913,SBA  ,9/12/1995,1995,9/11/1996,1996,9/12/1995,9/11/1996,P1,OC  ,L,SM/96/142,NO FACILITY,1995,CY,196.28,NULL,Yes,Original,NULL,"Soon after approval, policies began to diverge from program. It was learned that some prior actions for approval were not carried out, and several performance criteria for 9/95 and 12/95 were not met, and most benchmarks were not observed. Only one purchase was made under the program.",0
73,BENIN                              ,638,ESAF ,1/25/1993,1993,1/24/1996,1996,1/25/1993,1/24/1994,P1,OldBoardApproval,E,EBS /92/189,NO FACILITY,1993,CY,46.95,NULL,Yes,Original,NULL,NULL,-1
73,BENIN                              ,638,ESAF ,1/25/1993,1993,1/24/1996,1996,1/25/1993,1/24/1994,P1,OC  ,L,EBS /94/ 45,NO FACILITY,1993,CY,46.95,NULL,Yes,Original,NULL,NULL,0
73,BENIN                              ,638,ESAF ,1/25/1993,1993,1/24/1996,1996,1/25/1993,1/24/1994,P1,R1  ,BLANK,EBS /93/123,NO FACILITY,1993,CY,46.95,NULL,Yes,Original,NULL,NULL,1
106,BENIN                              ,638,ESAF ,1/25/1993,1993,1/24/1996,1996,3/23/1994,3/22/1995,P2,OldBoardApproval,E,EBS /94/45,NO FACILITY,1994,CY,51.89,NULL,Yes,Revised ,NULL,NULL,-1
106,BENIN                              ,638,ESAF ,1/25/1993,1993,1/24/1996,1996,1/1/1994,1/1/1995,P2,OC  ,L,EBS /95/ 74,NO FACILITY,1994,CY,51.89,NULL,Yes,Revised ,NULL,NULL,0
106,BENIN                              ,638,ESAF ,1/25/1993,1993,1/24/1996,1996,1/1/1994,1/1/1995,P2,R1  ,BLANK,EBS /94/217,NO FACILITY,1994,CY,51.89,NULL,Yes,Revised ,NULL,Total access under the 2nd & 3rd arrangements raised to SDR 18.12 million each at time of approval of the 2nd arrangement.,1
107,BENIN                              ,638,ESAF ,1/25/1993,1993,1/24/1996,1996,5/22/1995,5/21/1996,P3,OldBoardApproval,E,EBS /95/74,NO FACILITY,1995,CY,51.89,NULL,Yes,Revised ,NULL,NULL,-1
107,BENIN                              ,638,ESAF ,1/25/1993,1993,1/24/1996,1996,5/22/1995,5/21/1996,P3,R1  ,L,EBS/96/4,NO FACILITY,1995,CY,51.89,NULL,Yes,Revised ,NULL,NULL,1
201,BENIN                              ,638,ESAF ,8/28/1996,1996,8/27/1999,1999,8/28/1996,8/27/1997,P1,OldBoardApproval,E,EBS/96/127,NO FACILITY,1996,CY,27.18,NULL,Yes,Original,NULL,NULL,-1
201,BENIN                              ,638,ESAF ,8/28/1996,1996,8/27/1999,1999,8/28/1996,8/27/1997,P1,R1  ,L,EBS/97/119,NO FACILITY,1996,FY,27.18,NULL,Yes,Original,NULL,NULL,1
286,BENIN                              ,638,ESAF ,8/28/1996,1996,8/26/2000,2000,1/8/1999,1/7/2000,P2,OldBoardApproval,E,EBS/98/230,NO FACILITY,1998,FY,27.18,NULL,Yes,Revised ,NULL,"In August 1999, the commitment period under the arrangement was extended until 8/26/00.    ESAF cancelled on 7/10/00, and replaced with PRGF approved on 7/17/00.",-1
286,BENIN                              ,638,ESAF ,8/28/1996,1996,8/26/2000,2000,1/8/1999,1/7/2000,P2,R1  ,L,EBS/99/144,NO FACILITY,1998,FY,27.18,NULL,Yes,Revised ,NULL,"In August 1999, the commitment period under the arrangement was extended until 8/26/00.  ESAF cancelled on 7/10/00, and replaced with PRGF approved on 7/17/00.",1
335,BENIN                              ,638,PRGF ,7/17/2000,2000,7/16/2003,2003,7/17/2000,7/16/2001,P1,OldBoardApproval,E,EBS/00/130,NO FACILITY,2000,CY,27,NULL,Yes,Original,NULL,NULL,-1
335,BENIN                              ,638,PRGF ,7/17/2000,2000,7/16/2003,2003,NULL,NULL,P1,R1  ,BLANK,EBS/00/288,NO FACILITY,2000,CY,27,NULL,Yes,Original,NULL, ,1
335,BENIN                              ,638,PRGF ,7/17/2000,2000,10/16/2003,2003,NULL,NULL,P1,R2  ,BLANK,EBS/01/176,NO FACILITY,2000,CY,27,NULL,Yes,Revised ,NULL,NULL,2
335,BENIN                              ,638,PRGF ,7/17/2000,2000,3/31/2004,2004,NULL,NULL,P1,R3  ,BLANK,EBS/02/119,NO FACILITY,2000,CY,27,NULL,Yes,Revised ,NULL,"At time of third review, the government requests an extension of the PRGF arrangement to March 31, 2004, in order to allow disbursement of the seventh and final loan under the arrangement.",3
335,BENIN                              ,638,PRGF ,7/17/2000,2000,3/31/2004,2004,NULL,NULL,P1,R4  ,BLANK,EBS/03/26,NO FACILITY,2000,CY,27,NULL,Yes,Revised ,NULL,"At time of third review, the government requests an extension of the PRGF arrangement to March 31, 2004, in order to allow disbursement of the seventh and final loan under the arrangement.",4
335,BENIN                              ,638,PRGF ,7/17/2000,2000,3/31/2004,2004,NULL,NULL,P1,R5  ,BLANK,EBS/03/126,NO FACILITY,2000,CY,27,NULL,Yes,Revised ,NULL,"At time of third review, the government requests an extension of the PRGF arrangement to March 31, 2004, in order to allow disbursement of the seventh and final loan under the arrangement.",5
335,BENIN                              ,638,PRGF ,7/17/2000,2000,3/31/2004,2004,NULL,NULL,P1,R6  ,L,EBS/04/29,NO FACILITY,2000,CY,27,NULL,Yes,Revised ,NULL,"At time of third review, the government requests an extension of the PRGF arrangement to March 31, 2004, in order to allow disbursement of the seventh and final loan under the arrangement.",6
97,BOLIVIA                            ,218,ESAF ,12/19/1994,1994,12/18/1997,1997,12/19/1994,12/18/1995,P1,OldBoardApproval,E,EBS /94/228,NO FACILITY,1995,CY,100.96,NULL,Yes,Original,NULL,NULL,-1
97,BOLIVIA                            ,218,ESAF ,12/19/1994,1994,12/18/1997,1997,12/19/1994,12/18/1995,P1,R1  ,L,EBS /95/172,NO FACILITY,1995,CY,100.96,NULL,Yes,Revised ,NULL,NULL,1
176,BOLIVIA                            ,218,ESAF ,12/19/1994,1994,12/18/1997,1997,3/25/1996,3/24/1997,P2,OldBoardApproval,E,EBS /96/ 32,NO FACILITY,1996,CY,100.96,NULL,Yes,Revised ,NULL,NULL,-1
176,BOLIVIA                            ,218,ESAF ,12/19/1994,1994,12/18/1997,1997,3/25/1996,3/24/1997,P2,OC  ,L,EBS/97/164,NO FACILITY,1996,CY,100.96,NULL,Yes,Revised ,NULL,2nd annual arrangement was approved on 3/25/96.,0
176,BOLIVIA                            ,218,ESAF ,12/19/1994,1994,12/18/1997,1997,3/25/1996,3/24/1997,P2,R1  ,BLANK,EBS/96/178,NO FACILITY,1996,CY,100.96,NULL,Yes,Revised ,NULL,NULL,1
219,BOLIVIA                            ,218,ESAF ,12/19/1994,1994,7/31/1998,1998,9/10/1997,9/9/1998,P3,OldBoardApproval,E,EBS/97/164,NO FACILITY,1997,CY,100.96,NULL,Yes,Revised ,NULL,2nd annual arrangement approved on 3/25/96. Negotiations on 3rd annual arrangement were concluded 8/97 following change in government.,-1
219,BOLIVIA                            ,218,ESAF ,12/19/1994,1994,7/31/1998,1998,9/10/1997,7/31/1998,P3,R1  ,L,EBS/98/17,NO FACILITY,1997,CY,100.96,NULL,Yes,Revised ,NULL,Board approved the third annual ESAF on 9/10/97 and extended the three-year arrangement to 7/31/98.,1
260,BOLIVIA                            ,218,ESAF ,9/18/1998,1998,9/17/2001,2001,9/18/1998,9/17/1999,P1,OldBoardApproval,E,EBS/98/153,NO FACILITY,1998,CY,100.96,NULL,Yes,Original,NULL,NULL,-1
260,BOLIVIA                            ,218,ESAF ,9/18/1998,1998,9/17/2001,2001,9/18/1998,9/17/1999,P1,R1  ,L,EBS/99/56,NO FACILITY,1998,CY,100.96,NULL,Yes,Revised ,NULL,Rephasing due to delay in meeting a performance criterion.,1
324,BOLIVIA                            ,218,PRGF ,9/18/1998,1998,9/17/2001,2001,2/7/2000,2/6/2001,P2,OldBoardApproval,E,EBS/99/235,NO FACILITY,1999,CY,100.96,NULL,Yes,Revised ,NULL,Rephasing was due to a delay in the request for bid for privatization of refineries of the national oil company.,-1
324,BOLIVIA                            ,218,PRGF ,9/18/1998,1998,9/17/2001,2001,2/7/2000,2/6/2001,P2,OC  ,L,EBS/01/80,NO FACILITY,1999,CY,100.96,NULL,Yes,Revised ,NULL,Rephasing was due to a delay in the request for bid for privatization of refineries of the national oil company.,0
410,BOLIVIA                            ,218,PRGF ,9/18/1998,1998,6/7/2002,2002,6/8/2001,6/7/2002,P3,OldBoardApproval,L,EBS/01/80,NO FACILITY,2001,CY,100.96,NULL,Yes,Revised ,NULL,"Two undisbursed loans under the second annual arrangement under the PRGF, for a total amount equivalent to SDR 22.443 million, rephased over the period of the third annual arrangment, at the authorities request. To allow for three disbursements under the third annual arrangement, the three year commitment period extended to June 7, 2002.  Program went off-track in late 2001.",-1
242,BOSNIA AND HERZEGOVINA             ,963,SBA  ,5/29/1998,1998,5/28/1999,1999,NULL,NULL,P1,OldBoardApproval,E,EBS/98/78,NO FACILITY,1998,CY,60.6,NULL,Yes,Original,NULL,NULL,-1
242,BOSNIA AND HERZEGOVINA             ,963,SBA  ,5/29/1998,1998,4/30/2000,2000,NULL,NULL,P1,R1  ,BLANK,EBS/99/95,NO FACILITY,1998,CY,77.51,NULL,Yes,Revised ,NULL,1st review: Stand-by augmented by SDR 16.91 mn (from 60.6 to 77.51) on 6/28/99. The arrangement was also extended to 4/28/2000.,1
242,BOSNIA AND HERZEGOVINA             ,963,SBA  ,5/29/1998,1998,3/31/2001,2001,NULL,NULL,P1,R2  ,BLANK,EBS/00/27,NO FACILITY,1998,CY,94.41,NULL,Yes,Revised ,NULL,1st review: Stand-by augmented by SDR 16.91 mn (from 60.6 to 77.51) on 6/28/99. The arrangement was also extended to 4/28/2000.  2nd/3rd reviews:  extension from 4/30/00 to 3/31/01.  Augmented from SDR 77.51mn to SDR 94.41 mn.,2
242,BOSNIA AND HERZEGOVINA             ,963,SBA  ,5/29/1998,1998,3/31/2001,2001,NULL,NULL,P1,R3  ,BLANK,EBS/00/27,NO FACILITY,1998,CY,94.41,NULL,Yes,Revised ,NULL,1st review: Stand-by augmented by SDR 16.91 mn (from 60.6 to 77.51) on 6/28/99. The arrangement was also extended to 4/28/2000.  2nd/3rd reviews:  extension from 4/30/00 to 3/31/01.  Augmented from SDR 77.51mn to SDR 94.41 mn.,3
242,BOSNIA AND HERZEGOVINA             ,963,SBA  ,5/29/1998,1998,5/29/2001,2001,NULL,NULL,P1,R4  ,BLANK,EBS/00/262,NO FACILITY,1998,CY,94.41,NULL,Yes,Revised ,NULL,"1st review: Stand-by augmented by SDR 16.91 mn (from 60.6 to 77.51) on 6/28/99. The arrangement was also extended to 4/28/2000.  2nd/3rd reviews:  extension from 4/30/00 to 3/31/01.  Augmented from SDR 77.51mn to SDR 94.41 mn.  4th/5th reviews combined; extension by two months to May 29, 2001.",4
242,BOSNIA AND HERZEGOVINA             ,963,SBA  ,5/29/1998,1998,5/29/2001,2001,NULL,NULL,P1,R5  ,BLANK,EBS/00/262,NO FACILITY,1998,CY,94.41,NULL,Yes,Revised ,NULL,"1st review: Stand-by augmented by SDR 16.91 mn (from 60.6 to 77.51) on 6/28/99. The arrangement was also extended to 4/28/2000.  2nd/3rd reviews:  extension from 4/30/00 to 3/31/01.  Augmented from SDR 77.51mn to SDR 94.41 mn.  4th/5th reviews combined; extension by two months to May 29, 2001.",5
242,BOSNIA AND HERZEGOVINA             ,963,SBA  ,5/29/1998,1998,5/29/2001,2001,NULL,NULL,P1,R6  ,BLANK,EBS/01/71,NO FACILITY,1998,CY,94.41,NULL,Yes,Revised ,NULL,"1st review: Stand-by augmented by SDR 16.91 mn (from 60.6 to 77.51) on 6/28/99. The arrangement was also extended to 4/28/2000.  2nd/3rd reviews:  extension from 4/30/00 to 3/31/01.  Augmented from SDR 77.51mn to SDR 94.41 mn.  4th/5th reviews combined; extension by two months to May 29, 2001.",6
242,BOSNIA AND HERZEGOVINA             ,963,SBA  ,5/29/1998,1998,5/29/2001,2001,NULL,NULL,P1,R7  ,L,EBS/01/71,NO FACILITY,1998,CY,94.41,NULL,Yes,Revised ,NULL,"1st review: Stand-by augmented by SDR 16.91 mn (from 60.6 to 77.51) on 6/28/99. The arrangement was also extended to 4/28/2000.  2nd/3rd reviews:  extension from 4/30/00 to 3/31/01.  Augmented from SDR 77.51mn to SDR 94.41 mn.  4th/5th reviews combined; extension by two months to May 29, 2001.",7
308,BRAZIL                             ,223,SBA  ,12/2/1998,1998,12/1/2001,2001,NULL,NULL,P1,OldBoardApproval,E,EBS/98/189,SRF,1999,CY,13024.8,NULL,Yes,Original,NULL,"Purchase schedule set within certain data ranges for SDR 11,288.2 mn. The remainder to be phased in 8 equal tranches. 1st purchase amounted to 90% of total available.",-1
308,BRAZIL                             ,223,SBA  ,12/2/1998,1998,12/1/2001,2001,NULL,NULL,P1,OC  ,L,EBS/01/149,SRF,1999,CY,13024.8,NULL,No ,Revised ,NULL,"In early April 2000, the Brazilian authorities announced a full repurchase, partially ahead of schedule, of all outstanding SRF purchases (which had been carried out in April), and that they would treat the SBA as precautionary from then onward.  In the beginning of 2001, Brazil has suffered from a weakening of market confidence related to increased uncertainty in the international environment. As a result, authorities requested concellation of the existing SBA and its replacement by a new 15-month SBA.",0
308,BRAZIL                             ,223,SBA  ,12/2/1998,1998,12/1/2001,2001,NULL,NULL,P1,R1  ,BLANK,EBS/99/30,SRF,1999,CY,13024.8,NULL,Yes,Original,NULL,"Purchase schedule set within certain data ranges for SDR 11,288.2 mn. The remainder to be phased in 8 equal tranches. 1st purchase amounted to 90% of total available.  2nd purchase included SDR 379.89 mn left from 1st purchase plus amount available at 3/99.",1
308,BRAZIL                             ,223,SBA  ,12/2/1998,1998,12/1/2001,2001,NULL,NULL,P1,R2  ,BLANK,EBS/99/30,SRF,1999,CY,13024.8,NULL,Yes,Original,NULL,"Purchase schedule set within certain data ranges for SDR 11,288.2 mn. The remainder to be phased in 8 equal tranches. 1st purchase amounted to 90% of total available.  2nd purchase included SDR 379.89 mn left from 1st purchase plus amount available at 3/99.",2
308,BRAZIL                             ,223,SBA  ,12/2/1998,1998,12/1/2001,2001,NULL,NULL,P1,R3  ,BLANK,EBS/99/115,SRF,1999,CY,13024.8,NULL,Yes,Revised ,NULL,"Purchase schedule set within certain data ranges for SDR 11,288.2 mn. The remainder to be phased in 8 equal tranches. 1st purchase amounted to 90% of total available.  2nd purchase included SDR 379.89 mn left from 1st purchase plus amount available at 3/99.",3
308,BRAZIL                             ,223,SBA  ,12/2/1998,1998,12/1/2001,2001,NULL,NULL,P1,R4  ,BLANK,EBS/99/205,SRF,1999,CY,13024.8,NULL,Yes,Revised ,NULL,"Review dates for 2000-2001 were only indicative.  At the time of the fourth review, the exact number and timing of review during calendar year 2000 is established; PCs and exact number and timing of reviews for the year 2001 will be established during the seventh review of the program.",4
308,BRAZIL                             ,223,SBA  ,12/2/1998,1998,12/1/2001,2001,NULL,NULL,P1,R5  ,BLANK,EBS/00/82,SRF,1999,CY,13024.8,NULL,No ,Revised ,NULL,"In early April 2000, the Brazilian authorities announced a full repurchase, partially ahead of schedule, of all outstanding SRF purchases (which had been carried out in April), and that they would treat the SBA as precautionary from then onward.",5
308,BRAZIL                             ,223,SBA  ,12/2/1998,1998,12/1/2001,2001,NULL,NULL,P1,R6  ,BLANK,EBS/00/223,SRF,1999,CY,13024.8,NULL,No ,Revised ,NULL,"In early April 2000, the Brazilian authorities announced a full repurchase, partially ahead of schedule, of all outstanding SRF purchases (which had been carried out in April), and that they would treat the SBA as precautionary from then onward.",6
308,BRAZIL                             ,223,SBA  ,12/2/1998,1998,12/1/2001,2001,NULL,NULL,P1,R7  ,BLANK,EBS/01/36,SRF,1999,CY,13024.8,NULL,No ,Revised ,NULL,"In early April 2000, the Brazilian authorities announced a full repurchase, partially ahead of schedule, of all outstanding SRF purchases (which had been carried out in April), and that they would treat the SBA as precautionary from then onward.",7
401,BRAZIL                             ,223,SBA  ,9/14/2001,2001,12/13/2002,2002,NULL,NULL,P1,OldBoardApproval,E,EBS/01/149,SRF,2001,CY,2193.63,NULL,Yes,Original,NULL,NULL,-1
401,BRAZIL                             ,223,SBA  ,9/14/2001,2001,9/5/2002,2002,NULL,NULL,P1,OC  ,L,EBS/02/166,NO FACILITY,2001,CY,2193.63,NULL,Yes,Original,NULL,In September 2002 the arrangement is replaced by the new Stand-By Arrangment.,0
401,BRAZIL                             ,223,SBA  ,9/14/2001,2001,12/13/2002,2002,NULL,NULL,P1,R1  ,BLANK,EBS/01/212,NO FACILITY,2001,CY,2193.63,NULL,Yes,Original,NULL,NULL,1
401,BRAZIL                             ,223,SBA  ,9/14/2001,2001,12/13/2002,2002,NULL,NULL,P1,R2  ,BLANK,EBS/02/42,NO FACILITY,2001,CY,2193.63,NULL,Yes,Original,NULL,NULL,2
401,BRAZIL                             ,223,SBA  ,9/14/2001,2001,12/13/2002,2002,NULL,NULL,P1,R3  ,BLANK,EBS/02/99,NO FACILITY,2001,CY,2193.63,NULL,Yes,Original,NULL,NULL,3
80,BULGARIA                           ,918,SBA  ,4/11/1994,1994,3/11/1995,1995,4/11/1994,3/11/1995,P1,OldBoardApproval,E,EBS/94/52,STF,1994,CY,69.74,NULL,Yes,Original,NULL,STF attached with 2 purchases: SDR 116.225 mn on approval; SDR 116.225 mn end-Sept. 94 p.c. + complete review.,-1
